sumIntensity_ABRF_2016_40Y_1_Sample2	sumIntensity_ABRF_2016_40Y_1_Sample3	sumIntensity_ABRF_2016_40Y_1_Sample1	sumIntensity_ABRF_2016_40Y_1_Sample4
BGAL	0	624352.25	9683451.39063	65465466.01563
LYSC	0	173280.28125	2560864.9375	10464731.15625
ASPNC	0	76328.21875	1428867.3125	15082566.78125
PROTEING	0	1261586.1875	3974508.6875	19065622.125
