Intensity_ABRF_2016_40Y_1_Sample2	Intensity_ABRF_2016_40Y_1_Sample3	Intensity_ABRF_2016_40Y_1_Sample1	Intensity_ABRF_2016_40Y_1_Sample4
BGAL	0	2970214.05509831	55372157.5103486	425324129.827141
LYSC	0	1347872.14462075	9813304.21099186	68334966.1866074
ASPNC	0	0	15306301.058043	111986436.928925
PROTEING	0	1453789.19459831	13148557.9671571	83713357.3125246
